NAME,TYPE,LOCATION
myweb-LB,Load balancer,East US
NSG-public,Network security group,East US
NSG-web,Network security group,East US
public-frontend-ip,Public IP address,East US
swatweb-vnet,Virtual network,East US
vmweb1,Virtual machine,East US
vmweb1-ip,Public IP address,East US
vmweb1136,Network interface,East US
vmweb1_OsDisk_1_010a0b58f17741949812afe540d3a06b,Disk,East US
vmweb2-ip,Public IP address,East US
vmweb2869,Network interface,East US
vmweb2_OsDisk_1_50c49d9cfeb24215bf446614e2af6015,Disk,East US
vmweb3-ip,Public IP address,East US
vmweb39,Network interface,East US
vmweb3_OsDisk_1_89835f1485974ef5ba4de5bda450f423,Disk,East US
vmwebserver1,Virtual machine,East US
vmwebserver1478,Network interface,East US
vmwebserver1_OsDisk_1_00f5c9899a9848519b9fd600717223a7,Disk,East US
vmwebserver2,Virtual machine,East US
vmwebserver283,Network interface,East US
vmwebserver2_disk1_ff852b7d6c894fd696da35f8fd232669,Disk,East US
